edgeID,startNode,endNode
FHALL00104_FHALL00204,FHALL00104,FHALL00204
FHALL00204_FHALL00304,FHALL00204,FHALL00304
FHALL00304_FHALL00404,FHALL00304,FHALL00404
FHALL00404_FHALL00504,FHALL00404,FHALL00504
FHALL00504_FHALL00604,FHALL00504,FHALL00604
FHALL00604_FHALL00704,FHALL00604,FHALL00704
FHALL00704_FHALL00804,FHALL00704,FHALL00804
FHALL00804_FHALL00904,FHALL00804,FHALL00904
FHALL00904_FHALL01004,FHALL00904,FHALL01004
FHALL01004_FHALL01104,FHALL01004,FHALL01104
FHALL01104_FHALL01204,FHALL01104,FHALL01204
FHALL01204_FHALL01304,FHALL01204,FHALL01304
FHALL01304_FHALL01404,FHALL01304,FHALL01404
FHALL01404_FHALL01504,FHALL01404,FHALL01504
FHALL01504_FHALL01604,FHALL01504,FHALL01604
FHALL01604_FHALL01704,FHALL01604,FHALL01704
FHALL01704_FHALL01804,FHALL01704,FHALL01804
FHALL01804_FHALL01904,FHALL01804,FHALL01904
FHALL01904_FHALL02004,FHALL01904,FHALL02004
FHALL00804_FHALL02104,FHALL00804,FHALL02104
FHALL02104_FHALL02204,FHALL02104,FHALL02204
FHALL02204_FHALL02304,FHALL02204,FHALL02304
FHALL02304_FHALL02404,FHALL02304,FHALL02404
FHALL02404_FHALL02504,FHALL02404,FHALL02504
FHALL02504_FHALL02604,FHALL02504,FHALL02604
FHALL02604_FHALL02704,FHALL02604,FHALL02704
FHALL02704_FHALL02804,FHALL02704,FHALL02804
FHALL02804_FHALL02904,FHALL02804,FHALL02904
FHALL02904_FHALL03004,FHALL02904,FHALL03004
FHALL03004_FHALL03104,FHALL03004,FHALL03104
FHALL03404_FDEPT00104,FHALL03404,FDEPT00104
FHALL03504_FDEPT00204,FHALL03504,FDEPT00204
FHALL03604_FDEPT00304,FHALL03604,FDEPT00304
FHALL03704_FDEPT00404,FHALL03704,FDEPT00404
FHALL04104_FDEPT00504,FHALL04104,FDEPT00504
FHALL02104_FELEV00Y04,FHALL02104,FELEV00Y04
FHALL02104_FELEV00Z04,FHALL02104,FELEV00Z04
FHALL02204_FSTAI00104,FHALL02204,FSTAI00104
FHALL02204_FDEPT00604,FHALL02204,FDEPT00604
FHALL02304_FDEPT00704,FHALL02304,FDEPT00704
FHALL02404_FDEPT00804,FHALL02404,FDEPT00804
FHALL02404_FDEPT00904,FHALL02404,FDEPT00904
FHALL02504_FDEPT01004,FHALL02504,FDEPT01004
FHALL02604_FDEPT01104,FHALL02604,FDEPT01104
FHALL02604_FDEPT01204,FHALL02604,FDEPT01204
FHALL02704_FDEPT01304,FHALL02704,FDEPT01304
FHALL02904_FELEV00X04,FHALL02904,FELEV00X04
FHALL02904_FSTAI00204,FHALL02904,FSTAI00204
FHALL03004_FREST00104,FHALL03004,FREST00104
FHALL03004_FREST00204,FHALL03004,FREST00204
FHALL00104_FDEPT01404,FHALL00104,FDEPT01404
FHALL00204_FDEPT01504,FHALL00204,FDEPT01504
FHALL00204_FDEPT01604,FHALL00204,FDEPT01604
FHALL00304_FSTAI00304,FHALL00304,FSTAI00304
