edgeID,startNode,endNode
ACONF001F2_AHALL001F2,ACONF001F2,AHALL001F2
ACONF001F3_AHALL005F3,ACONF001F3,AHALL005F3
ACONF0010G_AHALL0060G,ACONF0010G,AHALL0060G
ACONF0010G_AHALL0070G,ACONF0010G,AHALL0070G
ACONF0010G_AHALL0080G,ACONF0010G,AHALL0080G
ADEPT001F1_AHALL004F1,ADEPT001F1,AHALL004F1
ADEPT001F2_AHALL005F2,ADEPT001F2,AHALL005F2
ADEPT0010G_AHALL0040G,ADEPT0010G,AHALL0040G
ADEPT0020G_AHALL0110G,ADEPT0020G,AHALL0110G
AELEV00SF1_AELEV00SF2,AELEV00SF1,AELEV00SF2
AELEV00SF1_AELEV00SF3,AELEV00SF1,AELEV00SF3
AELEV00SF1_AHALL008F1,AELEV00SF1,AHALL008F1
AELEV00SF2_AELEV00SF3,AELEV00SF2,AELEV00SF3
AELEV00SF2_AHALL004F2,AELEV00SF2,AHALL004F2
AELEV00SF3_AHALL001F3,AELEV00SF3,AHALL001F3
AELEV00S0G_AELEV00SF1,AELEV00S0G,AELEV00SF1
AELEV00S0G_AELEV00SF2,AELEV00S0G,AELEV00SF2
AELEV00S0G_AELEV00SF3,AELEV00S0G,AELEV00SF3
AELEV00S0G_AHALL0090G,AELEV00S0G,AHALL0090G
AELEV00SL2_AELEV00SF1,AELEV00SL2,AELEV00SF1
AELEV00SL2_AELEV00SF2,AELEV00SL2,AELEV00SF2
AELEV00SL2_AELEV00SF3,AELEV00SL2,AELEV00SF3
AELEV00SL2_AELEV00S0G,AELEV00SL2,AELEV00S0G
AHALL001F1_AHALL009F1,AHALL001F1,AHALL009F1
AHALL0010G_AEXIT0010G,AHALL0010G,AEXIT0010G
AHALL001L2_AELEV00SL2,AHALL001L2,AELEV00SL2
AHALL002F1_AHALL001F1,AHALL002F1,AHALL001F1
AHALL002F1_AHALL009F1,AHALL002F1,AHALL009F1
AHALL002F2_AHALL001F2,AHALL002F2,AHALL001F2
AHALL002F3_AHALL001F3,AHALL002F3,AHALL001F3
AHALL0020G_AHALL0010G,AHALL0020G,AHALL0010G
AHALL0020G_AHALL0060G,AHALL0020G,AHALL0060G
AHALL002L2_AHALL001L2,AHALL002L2,AHALL001L2
AHALL002L2_AEXIT001L2,AHALL002L2,AEXIT001L2
AHALL002L2_AHALL003L2,AHALL002L2,AHALL003L2
AHALL003F1_AHALL002F1,AHALL003F1,AHALL002F1
AHALL003F2_AHALL002F2,AHALL003F2,AHALL002F2
AHALL003F3_AHALL002F3,AHALL003F3,AHALL002F3
AHALL003L2_AHALL004L2,AHALL003L2,AHALL004L2
AHALL004F1_AHALL003F1,AHALL004F1,AHALL003F1
AHALL004F1_AHALL008F1,AHALL004F1,AHALL008F1
AHALL004F2_AHALL003F2,AHALL004F2,AHALL003F2
AHALL004F3_AHALL003F3,AHALL004F3,AHALL003F3
AHALL0040G_AHALL0120G,AHALL0040G,AHALL0120G
AHALL004L2_ALABS001L2,AHALL004L2,ALABS001L2
AHALL005F1_AHALL004F1,AHALL005F1,AHALL004F1
AHALL005F2_AHALL004F2,AHALL005F2,AHALL004F2
AHALL005F3_AHALL004F3,AHALL005F3,AHALL004F3
AHALL0050G_AHALL0010G,AHALL0050G,AHALL0010G
AHALL006F1_ADEPT002F1,AHALL006F1,ADEPT002F1
AHALL006F1_AHALL005F1,AHALL006F1,AHALL005F1
AHALL006F2_AHALL001F2,AHALL006F2,AHALL001F2
AHALL006F2_WHALL010F2,AHALL006F2,WHALL010F2
AHALL006F3_AHALL005F3,AHALL006F3,AHALL005F3
AHALL0060G_AHALL0150G,AHALL0060G,AHALL0150G
AHALL007F1_ADEPT003F1,AHALL007F1,ADEPT003F1
AHALL007F1_AHALL005F1,AHALL007F1,AHALL005F1
AHALL0070G_AHALL0050G,AHALL0070G,AHALL0050G
AHALL008F1_AHALL003F1,AHALL008F1,AHALL003F1
AHALL0080G_AHALL0060G,AHALL0080G,AHALL0060G
AHALL0080G_AHALL0140G,AHALL0080G,AHALL0140G
AHALL009F1_AHALL010F1,AHALL009F1,AHALL010F1
AHALL0090G_AHALL0140G,AHALL0090G,AHALL0140G
AHALL010F1_AHALL001F1,AHALL010F1,AHALL001F1
AHALL010F1_AHALL002F1,AHALL010F1,AHALL002F1
AHALL010F1_ASTAI001F1,AHALL010F1,ASTAI001F1
AHALL0100G_AHALL0080G,AHALL0100G,AHALL0080G
