nodeID,xcoord,ycoord,floor,building,nodeType,longName,Short Name,teamAssigned
HREST001F2,1605,1008,F2,Tower,REST,Restroom,HREST00102,F
HREST001F3,1785,830,F3,Tower,REST,Restroom,HREST00103,F
HREST002F3,1750,985,F3,Tower,REST,Restroom,HREST00203,F
ACONF001F3,1648,2968,F3,BTM,CONF,BTM Conference Center,ACONF00103,F
ACONF0010G,1671,2648,G,BTM,CONF,Schlagler Innovation Lobby,ACONF0010G,F
BCONF001F2,2150,1025,F2,45 Francis,CONF,Duncan Reid Conference Room,BCONF00102,F
CCONF001L1,2255,849,L1,45 Francis,CONF,Anesthesia Conference Room,CCONF001L1,F
CCONF002L1,2665,1043,L1,45 Francis,CONF,Medical Records Conference Room,CCONF002L1,F
CCONF003L1,2445,1245,L1,45 Francis,CONF,Abrams Conference Room,CCONF003L1,F
DCONF001F2,4595,550,F2,15 Francis,CONF,Carrie M. Hall Conference Center,DCONF00102,F
GCONF020F1,1493,2117,F1,Shapiro,CONF,Shapiro Board Room,GCONF02001,F
ADEPT001F1,1401,2628,F1,BTM,DEPT,Neuroscience Waiting Room,ADEPT00101,F
ADEPT001F2,1395,2674,F2,BTM,DEPT,Orthopedics and Rhemutalogy,ADEPT00102,F
ADEPT0010G,1530,2495,G,BTM,DEPT,Neuro Testing Waiting Area ,ADEPT0010G,F
ADEPT002F1,1720,2847,F1,BTM,DEPT,MS Waiting,ADEPT00201,F
ADEPT0020G,1552,2843,G,BTM,DEPT,Infusion Waiting Area ,ADEPT0020G,F
ADEPT003F1,986,2852,F1,BTM,DEPT,CART Waiting,ADEPT00301,F
BDEPT001F2,2260,786,F2,45 Francis,DEPT,Comprehensive Breast Heath,BDEPT00102,F
BDEPT002F2,2166,1039,F2,45 Francis,DEPT,Oral Medicine and Dentistry,BDEPT00202,F
BDEPT003F2,2385,753,F2,45 Francis,DEPT,Lee Bell Breast Center,BDEPT00302,F
BDEPT004F2,2439,902,F2,45 Francis,DEPT,Jen Center for Primary Care,BDEPT00402,F
BDEPT005F2,2623,1018,F2,45 Francis,DEPT,Ear Nose & Throat,BDEPT00502,F
BDEPT007F2,2945,775,F2,45 Francis,DEPT,Plastic Surgery,BDEPT00702,F
BDEPT008F2,3155,890,F2,45 Francis,DEPT,Outpatient Pharmacy,BDEPT00802,F
BDEPT009F2,3257,879,F2,45 Francis,DEPT,Weiner Center for Preoperative Evaluation,BDEPT00902,F
CDEPT002L1,1980,844,L1,Tower,DEPT,Day Surgery Family Waiting,CDEPT002L1,F
CDEPT003L1,1845,844,L1,Tower,DEPT,Day Surgery Family Waiting Exit,CDEPT003L1,F
CDEPT004L1,2310,1043,L1,45 Francis,DEPT,Medical Records Film Library,CDEPT004L1,F
DDEPT001F2,4330,700,F2,15 Francis,DEPT,Chest Diseases,DDEPT00102,F
DDEPT002F2,4240,730,F2,15 Francis,DEPT,Thoracic Surgery Clinic,DDEPT00202,F
DDEPT003F2,3900,640,F2,15 Francis,DEPT,Brigham Health,DDEPT00302,F
DDEPT004F2,3425,870,F2,15 Francis,DEPT,Waiting Room,DDEPT00402,F
EDEPT001F1,2335,860,F1,45 Francis,DEPT,Waiting Room 1,EDEPT00101,F
EDEPT002F1,3100,890,F1,45 Francis,DEPT,Wound and Ambulatory Department,EDEPT00201,F
EDEPT003F1,3200,880,F1,45 Francis,DEPT,Ocupational Health Department,EDEPT00301,F
EDEPT004F1,2790,1380,F1,45 Francis,DEPT,Rehabilitation Services,EDEPT00401,F
FDEPT001F1,1617,825,F1,Tower,DEPT,Center for International Medicine,FDEPT00101,F
FDEPT002F1,1610,1120,F1,Tower,DEPT,Bretholtz Center for Patients and Families,FDEPT00201,F
FDEPT003F1,1721,931,F1,Tower,DEPT,Multifaith Chapel,FDEPT00301,F
FDEPT004F1,1794,1146,F1,Tower,DEPT,Sharf Admitting Center,FDEPT00401,F
FDEPT005F1,2128,1300,F1,Tower,DEPT,Emergency Department,FDEPT00501,F
FDEPT006F1,1780,1029,F1,Tower,DEPT,International Patient Center,FDEPT00601,F
FSERV004F1,1721,970,F1,Tower,DEPT,Spiritual Care Office,FSERV00401,F
GDEPT004F3,1580,2142,F3,Shapiro,DEPT,Brigham Circle Medical Associates,GDEPT00403,F
GDEPT007F2,1341,1778,F2,Shapiro,DEPT,Waiting room,GDEPT00702,F
GDEPT014F3,1580,1904,F3,Shapiro,DEPT,Watkins Clinic C,GDEPT01403,F
GDEPT019F1,1566,2139,F1,Shapiro,DEPT,Zinner Breakout Room,GDEPT01901,F
GDEPT024F2,1578,1932,F2,Shapiro,DEPT,Watkins A,GDEPT02402,F
GDEPT035F2,1580,2166,F2,Shapiro,DEPT,Watkins B,GDEPT03502,F
HDEPT001F2,2055,1330,F2,Tower,DEPT,Endoscopy,HDEPT00102,F
HDEPT001F3,1725,900,F3,Tower,DEPT,Dialysis Waiting Room,HDEPT00103,F
HDEPT002F3,1690,830,F3,Tower,DEPT,MICU 3BC Waiting Room,HDEPT00203,F
IDEPT001F3,2323,1328,F3,45 Francis,DEPT,Center for Infertility and Reproductive Surgery,IDEPT00103,F
IDEPT002F3,2448,1328,F3,45 Francis,DEPT,Gynecology Oncology MIGS,IDEPT00203,F
IDEPT003F3,2730,1315,F3,45 Francis,DEPT,General Surgical Specialties Suite A,IDEPT00303,F
IDEPT004F3,2738,1227,F3,45 Francis,DEPT,General Surgical Specialties Suite B,IDEPT00403,F
IDEPT005F3,2868,1075,F3,45 Francis,DEPT,Urology,IDEPT00503,F
IDEPT006F3,2333,764,F3,45 Francis,DEPT,Maternal Fetal Practice,IDEPT00603,F
IDEPT007F3,2400,764,F3,45 Francis,DEPT,Obstetrics,IDEPT00703,F
IDEPT008F3,2492,887,F3,45 Francis,DEPT,Fetal Med & Genetics,IDEPT00803,F
IDEPT009F3,2631,851,F3,45 Francis,DEPT,Gynecology,IDEPT00903,F
AELEV00SF1,1534,2777,F1,BTM,ELEV,Elevator S,AELEV00S01,F
AELEV00SF2,1532,2777,F2,BTM,ELEV,Elevator S,AELEV00S02,F
AELEV00SF3,1539,2773,F3,BTM,ELEV,Elevator S,AELEV00S03,F
AELEV00S0G,1523,2763,G,BTM,ELEV,Elevator S,AELEV00S0G,F
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S,AELEV00SL2,F
DELEV00AF2,4550,375,F2,15 Francis,ELEV,Elevator A,DELEV00A02,F
DELEV00BF2,4155,650,F2,15 Francis,ELEV,Elevator B,DELEV00B02,F
DELEV00CF2,3955,885,F2,15 Francis,ELEV,Elevator C,DELEV00C02,F
DELEV00DF2,3475,760,F2,15 Francis,ELEV,Elevator D,DELEV00D02,F
GELEV00NF1,1647,1930,F1,Shapiro,ELEV,Elevator N,GELEV00N01,F
GELEV00NF2,1630,1931,F2,Shapiro,ELEV,Elevator N,GELEV00N02,F
GELEV00NF3,1628,1904,F3,Shapiro,ELEV,Elevator N,GELEV00N03,F
